triple,current_miss,max_miss,hits,last_hit_draw,miss_tail_probability,draw_count
21-22-23,290,443,893,62763,0.017386989623,63053
44-45-46,253,462,910,62800,0.029157312355,63053
57-58-59,210,472,815,62843,0.053171600646,63053
46-47-48,183,410,879,62870,0.077539127755,63053
63-64-65,176,593,850,62877,0.085506327421,63053
69-70-71,160,780,868,62893,0.106927477433,63053
19-20-21,153,582,808,62900,0.117914350605,63053
70-71-72,144,429,942,62909,0.133715080216,63053
71-72-73,139,649,927,62914,0.143390819863,63053
53-54-55,135,443,879,62918,0.151633135285,63053
37-38-39,131,573,897,62922,0.160349231131,63053
58-59-60,126,433,800,62927,0.171952241132,63053
62-63-64,120,474,845,62933,0.186989401259,63053
15-16-17,119,683,884,62934,0.189620454301,63053
7-8-9,115,537,850,62938,0.200520117169,63053
24-25-26,114,504,876,62939,0.203341555500,63053
11-12-13,112,646,846,62941,0.209104088744,63053
6-7-8,107,658,846,62946,0.224235042698,63053
18-19-20,101,453,847,62952,0.243844314558,63053
31-32-33,97,505,879,62956,0.257860844741,63053
27-28-29,95,559,865,62958,0.265168410017,63053
76-77-78,92,447,833,62961,0.276519880017,63053
47-48-49,78,657,833,62975,0.336264518276,63053
48-49-50,78,559,865,62975,0.336264518276,63053
14-15-16,76,515,871,62977,0.345793979486,63053
29-30-31,72,550,885,62981,0.365670726496,63053
28-29-30,72,499,873,62981,0.365670726496,63053
30-31-32,72,473,960,62981,0.365670726496,63053
64-65-66,70,499,840,62983,0.376033535578,63053
65-66-67,70,385,852,62983,0.376033535578,63053
74-75-76,61,522,877,62992,0.426422688298,63053
39-40-41,59,725,882,62994,0.438507158251,63053
73-74-75,59,425,906,62994,0.438507158251,63053
77-78-79,57,599,894,62996,0.450934092191,63053
36-37-38,56,518,845,62997,0.457279005361,63053
45-46-47,49,571,885,63004,0.504264743329,63053
43-44-45,47,591,849,63006,0.518555193406,63053
13-14-15,47,411,918,63006,0.518555193406,63053
12-13-14,46,550,877,63007,0.525851576033,63053
61-62-63,46,409,890,63007,0.525851576033,63053
10-11-12,43,614,879,63010,0.548362509327,63053
5-6-7,42,620,842,63011,0.556078298769,63053
78-79-80,32,577,850,63021,0.639466597804,63053
54-55-56,28,580,889,63025,0.676224079253,63053
16-17-18,28,433,835,63025,0.676224079253,63053
25-26-27,26,612,831,63027,0.695387716159,63053
26-27-28,26,521,854,63027,0.695387716159,63053
67-68-69,25,502,855,63028,0.705172238455,63053
41-42-43,24,460,845,63029,0.715094434849,63053
22-23-24,22,563,920,63031,0.735359625816,63053
42-43-44,22,459,882,63031,0.735359625816,63053
32-33-34,20,666,865,63033,0.756199115708,63053
35-36-37,20,583,860,63033,0.756199115708,63053
34-35-36,20,491,877,63033,0.756199115708,63053
33-34-35,20,438,889,63033,0.756199115708,63053
9-10-11,18,676,876,63035,0.777629179686,63053
8-9-10,18,489,882,63035,0.777629179686,63053
4-5-6,16,595,824,63037,0.799666554136,63053
20-21-22,16,557,922,63037,0.799666554136,63053
51-52-53,14,590,836,63039,0.822328449741,63053
49-50-51,14,535,900,63039,0.822328449741,63053
72-73-74,14,515,888,63039,0.822328449741,63053
50-51-52,14,419,880,63039,0.822328449741,63053
59-60-61,11,491,896,63042,0.857531122360,63053
60-61-62,11,412,865,63042,0.857531122360,63053
2-3-4,10,656,846,63043,0.869597099643,63053
3-4-5,10,428,895,63043,0.869597099643,63053
1-2-3,10,384,910,63043,0.869597099643,63053
17-18-19,9,504,861,63044,0.881832852465,63053
56-57-58,8,600,886,63045,0.894240769668,63053
55-56-57,8,449,918,63045,0.894240769668,63053
40-41-42,8,445,850,63045,0.894240769668,63053
52-53-54,7,552,879,63046,0.906823273709,63053
68-69-70,5,554,840,63048,0.932521903037,63053
23-24-25,4,517,913,63049,0.945643045587,63053
38-39-40,3,608,907,63050,0.958948810485,63053
75-76-77,2,519,836,63051,0.972441795475,63053
66-67-68,1,392,876,63052,0.986124634859,63053
