triple,current_miss,max_miss,hits,last_hit_draw,miss_tail_probability,draw_count
1-2-3,3,3,0,,0.958948810485,3
3-4-5,3,3,0,,0.958948810485,3
4-5-6,3,3,0,,0.958948810485,3
5-6-7,3,3,0,,0.958948810485,3
6-7-8,3,3,0,,0.958948810485,3
7-8-9,3,3,0,,0.958948810485,3
8-9-10,3,3,0,,0.958948810485,3
9-10-11,3,3,0,,0.958948810485,3
10-11-12,3,3,0,,0.958948810485,3
11-12-13,3,3,0,,0.958948810485,3
12-13-14,3,3,0,,0.958948810485,3
14-15-16,3,3,0,,0.958948810485,3
15-16-17,3,3,0,,0.958948810485,3
16-17-18,3,3,0,,0.958948810485,3
17-18-19,3,3,0,,0.958948810485,3
18-19-20,3,3,0,,0.958948810485,3
19-20-21,3,3,0,,0.958948810485,3
20-21-22,3,3,0,,0.958948810485,3
21-22-23,3,3,0,,0.958948810485,3
22-23-24,3,3,0,,0.958948810485,3
23-24-25,3,3,0,,0.958948810485,3
24-25-26,3,3,0,,0.958948810485,3
25-26-27,3,3,0,,0.958948810485,3
26-27-28,3,3,0,,0.958948810485,3
27-28-29,3,3,0,,0.958948810485,3
28-29-30,3,3,0,,0.958948810485,3
29-30-31,3,3,0,,0.958948810485,3
30-31-32,3,3,0,,0.958948810485,3
31-32-33,3,3,0,,0.958948810485,3
32-33-34,3,3,0,,0.958948810485,3
33-34-35,3,3,0,,0.958948810485,3
34-35-36,3,3,0,,0.958948810485,3
35-36-37,3,3,0,,0.958948810485,3
36-37-38,3,3,0,,0.958948810485,3
37-38-39,3,3,0,,0.958948810485,3
38-39-40,3,3,0,,0.958948810485,3
39-40-41,3,3,0,,0.958948810485,3
40-41-42,3,3,0,,0.958948810485,3
41-42-43,3,3,0,,0.958948810485,3
42-43-44,3,3,0,,0.958948810485,3
43-44-45,3,3,0,,0.958948810485,3
44-45-46,3,3,0,,0.958948810485,3
45-46-47,3,3,0,,0.958948810485,3
46-47-48,3,3,0,,0.958948810485,3
47-48-49,3,3,0,,0.958948810485,3
48-49-50,3,3,0,,0.958948810485,3
49-50-51,3,3,0,,0.958948810485,3
50-51-52,3,3,0,,0.958948810485,3
51-52-53,3,3,0,,0.958948810485,3
52-53-54,3,3,0,,0.958948810485,3
53-54-55,3,3,0,,0.958948810485,3
54-55-56,3,3,0,,0.958948810485,3
55-56-57,3,3,0,,0.958948810485,3
56-57-58,3,3,0,,0.958948810485,3
57-58-59,3,3,0,,0.958948810485,3
58-59-60,3,3,0,,0.958948810485,3
59-60-61,3,3,0,,0.958948810485,3
60-61-62,3,3,0,,0.958948810485,3
61-62-63,3,3,0,,0.958948810485,3
62-63-64,3,3,0,,0.958948810485,3
63-64-65,3,3,0,,0.958948810485,3
64-65-66,3,3,0,,0.958948810485,3
65-66-67,3,3,0,,0.958948810485,3
66-67-68,3,3,0,,0.958948810485,3
67-68-69,3,3,0,,0.958948810485,3
68-69-70,3,3,0,,0.958948810485,3
69-70-71,3,3,0,,0.958948810485,3
70-71-72,3,3,0,,0.958948810485,3
71-72-73,3,3,0,,0.958948810485,3
72-73-74,3,3,0,,0.958948810485,3
73-74-75,3,3,0,,0.958948810485,3
74-75-76,3,3,0,,0.958948810485,3
75-76-77,3,3,0,,0.958948810485,3
76-77-78,3,3,0,,0.958948810485,3
77-78-79,3,3,0,,0.958948810485,3
78-79-80,3,3,0,,0.958948810485,3
2-3-4,1,1,1,2,0.986124634859,3
13-14-15,0,2,1,3,1.000000000000,3
